,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
0,0,1,H,11609,1,306802.749855,2402633.253416,306883.406015,2402616.244616,1,306843.077935,2402624.749016,82.430064,1.778632,HV
1,0,1,H,11610,0,306883.406015,2402616.244616,306960.748447,2402600.748744,1,306922.077231,2402608.49668,78.879489,1.768532,HV
2,0,1,H,11674,0,306928.189087,2402702.497,306960.748447,2402600.748744,0,306944.468767,2402651.622872,106.830799,2.83189,HP
3,0,1,H,11678,1,306796.095039,2402711.503368,306928.189087,2402702.497,1,306862.142063,2402707.000184,132.400726,1.638872,HV
4,0,1,H,11731,1,306893.498271,2402799.749224,306928.189087,2402702.497,1,306910.843679,2402751.123112,103.254287,2.798953,HP
5,0,1,H,11732,0,306920.282975,2402799.996648,306963.930175,2402778.975784,1,306942.106575,2402789.486216,48.445379,2.019623,HO
6,0,1,H,11757,0,306961.312031,2402795.25556,306919.031711,2402816.496328,1,306940.171871,2402805.875944,47.315914,2.036346,HO
7,0,1,H,11773,1,306861.750143,2402843.995881,306919.031711,2402816.496328,1,306890.390927,2402830.246105,63.540565,2.018379,HO
8,0,1,H,11849,0,306849.155295,2402924.500969,306944.345535,2402958.505897,1,306896.750415,2402941.503433,101.081734,1.227694,HV
9,0,1,H,11945,1,306901.984575,2403091.755369,306912.500543,2403032.505641,1,306907.242559,2403062.130505,60.175708,2.965936,HP
10,0,1,H,11946,0,306912.500543,2403032.505641,306944.345535,2402958.505897,1,306928.423039,2402995.505769,80.560944,2.735208,HO
11,0,1,H,12158,1,306679.470271,2403360.758569,306689.821951,2403365.143177,1,306684.646111,2403362.950873,11.241978,1.170142,HO
12,0,1,H,12159,1,306689.821951,2403365.143177,306693.893759,2403366.867881,1,306691.857855,2403366.005529,4.422016,1.170136,HO
13,0,1,H,12160,1,306693.893759,2403366.867881,306700.908127,2403369.837801,1,306697.400943,2403368.352841,7.617203,1.170277,HO
14,0,1,H,12161,1,306700.908127,2403369.837801,306722.076671,2403378.811209,1,306711.492399,2403374.324505,22.99194,1.169855,HO
15,0,1,H,12162,1,306722.076671,2403378.811209,306779.155199,2403403.006985,1,306750.615935,2403390.909097,61.995112,1.169855,HO
