,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
0,0,3,C,488,1.0,308843.278421,2402987.965306,308895.517686,2402992.475171,1.0,308869.398053,2402990.220239,52.433574,1.484679,HV
1,0,3,C,489,0.0,308895.517686,2402992.475171,309082.148941,2403140.280535,0.0,308988.833313,2403066.377853,238.070685,0.900974,HO
2,0,4,C,30,1.0,309217.180971,2402704.241623,309247.790623,2402747.455251,1.0,309232.485797,2402725.848437,52.956288,0.616297,HO
3,0,4,C,31,1.0,309247.790623,2402747.455251,309247.790623,2402850.087616,1.0,309247.790623,2402798.771433,102.632365,0.0,HP
4,0,4,C,32,1.0,309247.790623,2402850.087616,309316.2122,2402956.321116,1.0,309282.001412,2402903.204366,126.360867,0.572194,HO
5,0,4,C,492,1.0,309132.883221,2403133.93875,309141.452716,2403179.703259,1.0,309137.167969,2403156.821005,46.559924,0.185108,HP
6,0,4,C,493,1.0,309141.452716,2403179.703259,309152.805458,2403203.687161,1.0,309147.129087,2403191.69521,26.535115,0.4421,HO
7,0,4,C,494,1.0,309241.123639,2403192.788321,309265.477583,2403147.338954,1.0,309253.300611,2403170.063637,51.563161,2.64968,HO
8,0,4,C,495,1.0,309265.477583,2403147.338954,309263.995734,2403098.565973,1.0,309264.736659,2403122.952464,48.795487,0.030373,HP
9,0,4,C,498,1.0,309284.356495,2402979.304992,309316.2122,2402956.321116,1.0,309300.284348,2402967.813054,39.281605,2.195806,HO
10,0,4,C,499,1.0,309316.2122,2402956.321116,309372.920012,2402937.419734,1.0,309344.566106,2402946.870425,59.774896,1.892527,HV
11,0,4,C,500,1.0,309372.920012,2402937.419734,309416.184927,2402896.318064,1.0,309394.552469,2402916.868899,59.675792,2.330559,HO
12,0,4,C,501,1.0,309416.184927,2402896.318064,309444.307122,2402831.420691,1.0,309430.246024,2402863.869377,70.728544,2.732685,HO
13,0,4,C,502,1.0,309444.307122,2402831.420691,309442.143876,2402796.808759,1.0,309443.225499,2402814.114725,34.679468,0.062419,HP
14,0,4,C,503,1.0,309442.143876,2402796.808759,309465.939579,2402716.768666,1.0,309454.041728,2402756.788713,83.502407,2.852617,HP
15,0,4,C,504,1.0,309465.939579,2402716.768666,309517.857477,2402708.115683,1.0,309491.898528,2402712.442174,52.634041,1.735945,HV
16,0,4,C,509,1.0,309778.655787,2402749.441739,309803.405918,2402781.666039,1.0,309791.030853,2402765.553889,40.632185,0.654958,HO
17,0,4,C,510,0.0,309803.405918,2402781.666039,309916.851678,2402834.629911,1.0,309860.128798,2402808.147975,125.200288,1.134006,HO
18,0,5,C,35,1.0,310234.312395,2402779.670265,310250.480048,2402810.740062,1.0,310242.396222,2402795.205164,35.024638,0.479807,HO
19,0,5,C,36,1.0,310250.480048,2402810.740062,310253.249003,2402873.04154,1.0,310251.864525,2402841.890801,62.36298,0.044415,HP
