,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
0,0,1,R,1,1.0,306552.014015,2403436.298396,306556.751297,2403437.680103,1.0,306554.382656,2403436.989249,4.934669,1.287002,HV
1,0,1,R,2,1.0,306556.751297,2403437.680103,306561.883354,2403441.825225,1.0,306559.317325,2403439.752664,6.596972,0.891383,HO
2,0,1,R,7,1.0,306597.215587,2403473.604497,306603.926737,2403478.341779,1.0,306600.571162,2403475.973138,8.214705,0.956133,HO
3,0,1,R,8,1.0,306603.926737,2403478.341779,306609.848341,2403481.894741,1.0,306606.887539,2403480.11826,6.905717,1.030377,HO
4,0,1,R,9,1.0,306609.848341,2403481.894741,306616.362104,2403484.658156,1.0,306613.105222,2403483.276449,7.075703,1.169567,HO
5,0,1,R,10,1.0,306616.362104,2403484.658156,306620.704613,2403485.842477,1.0,306618.533358,2403485.250316,4.501111,1.304544,HV
6,0,1,R,11,1.0,306620.704613,2403485.842477,306636.692943,2403486.237251,1.0,306628.698778,2403486.039864,15.993203,1.54611,HV
7,0,1,R,5019,1.0,306786.844212,2402859.515421,306789.185998,2402862.637803,1.0,306788.015105,2402861.076612,3.902977,0.643501,HO
8,0,1,R,5022,1.0,306794.455019,2402866.150483,306798.357997,2402867.516526,1.0,306796.406508,2402866.833504,4.135131,1.234121,HV
9,0,1,R,5023,1.0,306798.357997,2402867.516526,306795.040466,2402869.663164,1.0,306796.699231,2402868.589845,3.951464,2.145101,HO
10,0,1,R,5024,1.0,306795.040466,2402869.663164,306789.966594,2402873.95644,1.0,306792.50353,2402871.809802,6.646533,2.273053,HO
11,0,1,R,5025,1.0,306789.966594,2402873.95644,306785.087871,2402877.664269,1.0,306787.527233,2402875.810355,6.1278,2.220667,HO
12,0,1,R,5026,1.0,306785.087871,2402877.664269,306781.965489,2402880.591503,1.0,306783.52668,2402879.127886,4.27995,2.323948,HO
13,0,1,R,5027,1.0,306781.965489,2402880.591503,306778.25766,2402883.128438,1.0,306780.111574,2402881.85997,4.492665,2.170846,HO
14,0,1,R,5049,1.0,306847.340373,2402842.537466,306917.398831,2402803.312535,1.0,306882.369602,2402822.925,80.29186,2.0812,HO
15,0,1,R,7524,1.0,306934.954291,2402993.352403,306925.171045,2403008.726074,1.0,306930.062668,2403001.039238,18.222559,2.574863,HO
16,0,1,R,7525,1.0,306925.171045,2403008.726074,306919.114751,2403015.714107,1.0,306922.142898,2403012.220091,9.247232,2.427502,HO
17,0,1,R,7526,1.0,306919.114751,2403015.714107,306915.853669,2403019.906926,1.0,306917.48421,2403017.810516,5.311722,2.480549,HO
