,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
112,0,4,H,11768,1.0,309457.844705,2402777.50292,309456.469505,2402785.242952,1.0,309457.157105,2402781.372936,7.861251,2.965754,HP,1,1,0,0,1,1
113,0,4,H,11769,1.0,309456.469505,2402785.242952,309461.625633,2402794.496712,1.0,309459.047569,2402789.869832,10.593287,0.508349,HO,1,1,0,0,0,1
126,0,4,H,11835,1.0,309358.634177,2402950.743689,309362.071201,2402952.233065,1.0,309360.352689,2402951.488377,3.745848,1.161889,HO,0,1,0,0,0,1
127,0,4,H,11836,1.0,309362.071201,2402952.233065,309369.174369,2402950.972809,1.0,309365.622785,2402951.602937,7.2141,1.746391,HV,0,1,0,0,0,1
128,0,4,H,11840,1.0,309403.430081,2402929.892425,309409.616705,2402923.476649,1.0,309406.523393,2402926.684537,8.912716,2.374376,HO,1,1,1,0,0,1
129,0,4,H,11841,1.0,309409.616705,2402923.476649,309409.940929,2402921.899817,1.0,309409.778817,2402922.688233,1.60982,2.938802,HP,1,1,1,0,0,1
132,0,4,H,11852,1.0,309356.801121,2402959.565417,309361.842081,2402959.794505,1.0,309359.321601,2402959.679961,5.046163,1.525382,HV,0,1,0,0,0,1
135,0,4,H,12007,1.0,309246.345537,2403193.501513,309269.279905,2403142.751209,1.0,309257.812721,2403168.126361,55.691818,2.717155,HO,0,1,0,0,0,1
163,0,4,H,12369,1.0,309324.034817,2402966.324905,309309.484737,2402974.459177,1.0,309316.759777,2402970.392041,16.669469,2.080564,HO,0,1,0,0,0,1
164,0,4,H,12370,1.0,309309.484737,2402974.459177,309294.934657,2402991.873417,1.0,309302.209697,2402983.166297,22.692743,2.445561,HO,0,1,0,0,0,1
165,0,4,H,12371,1.0,309294.934657,2402991.873417,309292.872449,2403015.474313,1.0,309293.903553,2403003.673865,23.690821,3.054436,HP,0,1,0,0,0,1
166,0,4,H,12375,1.0,309281.530273,2402982.364329,309289.320865,2402968.272521,1.0,309285.425569,2402975.318425,16.101937,2.636567,HO,0,1,0,0,0,1
176,0,5,H,11663,1.0,310218.468034,2402668.493704,310256.032258,2402612.99988,1.0,310237.250146,2402640.746792,67.012204,2.546533,HO,1,1,0,0,1,1
196,0,5,H,11914,1.0,310290.976514,2402976.133385,310299.000482,2402987.749865,1.0,310294.988498,2402981.941625,14.11831,0.604484,HO,0,1,0,0,0,1
208,0,5,H,11985,0.0,310868.529698,2403152.499625,310993.061379,2403045.746249,0.0,310930.795539,2403099.122937,164.025677,2.279478,HO,0,1,0,0,0,1
209,0,5,H,11990,1.0,310463.62653,2403123.006633,310466.96765,2403138.749865,1.0,310465.29709,2403130.878249,16.093863,0.209123,HP,1,1,1,0,0,1
210,0,5,H,11993,1.0,310456.751682,2403146.999721,310462.375266,2403153.750921,1.0,310459.563474,2403150.375321,8.786546,0.694527,HO,1,1,1,0,0,1
211,0,5,H,11997,1.0,310380.687874,2403098.999273,310444.280514,2403161.505993,1.0,310412.484194,2403130.252633,89.169019,0.79401,HO,0,1,0,0,0,1
213,0,5,H,12010,1.0,310868.529698,2403152.499625,310887.311939,2403177.001801,1.0,310877.920818,2403164.750713,30.872791,0.654012,HO,0,1,0,0,0,1
214,0,5,H,12011,1.0,310887.311939,2403177.001801,310899.563043,2403204.995849,1.0,310893.437491,2403190.998825,30.557426,0.412522,HO,0,1,0,0,0,1
236,0,5,H,12182,1.0,310622.532642,2403403.501769,310632.624898,2403457.002153,1.0,310627.57877,2403430.251961,54.443959,0.186448,HP,1,1,0,0,1,1
240,0,5,H,12199,1.0,310632.624898,2403457.002153,310632.624898,2403505.744809,1.0,310632.624898,2403481.373481,48.742656,0.0,HP,1,1,0,0,1,1
