,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
3,0,1,H,11849,0.0,306849.155295,2402924.500969,306944.345535,2402958.505897,1.0,306896.750415,2402941.503433,101.081734,1.227694,HV,1,0,0,0,1,0
5,0,1,H,11946,0.0,306912.500543,2403032.505641,306944.345535,2402958.505897,1.0,306928.423039,2402995.505769,80.560944,2.735208,HO,1,0,0,0,1,0
11,0,2,H,11600,1.0,307836.261856,2402574.504168,307835.704512,2402575.538536,1.0,307835.983184,2402575.021352,1.174968,2.647369,HO,1,0,0,0,1,0
13,0,2,H,11854,1.0,306948.598719,2402961.505225,306952.842303,2402964.498985,1.0,306950.720511,2402963.002105,5.193323,0.956403,HO,1,0,0,0,1,0
18,0,2,H,12060,1.0,307428.625823,2403251.497641,307439.281855,2403213.245673,1.0,307433.953839,2403232.371657,39.708489,2.869906,HP,1,0,0,0,1,0
19,0,2,H,12112,1.0,307391.061247,2403343.497609,307399.407519,2403315.998121,1.0,307395.234383,2403329.747865,28.738164,2.846922,HP,1,0,0,0,1,0
21,0,3,H,11570,1.0,308475.657088,2402547.248392,308492.624224,2402547.248392,1.0,308484.140656,2402547.248392,16.967136,1.570796,HV,1,0,0,0,1,0
30,0,3,H,11646,1.0,308595.156288,2402572.754472,308600.779872,2402589.501576,1.0,308597.96808,2402581.128024,17.666075,0.323964,HP,1,0,0,0,1,0
31,0,3,H,11647,1.0,308600.779872,2402589.501576,308600.779872,2402614.745928,1.0,308600.779872,2402602.123752,25.244352,0.0,HP,1,0,0,0,1,0
33,0,3,H,11657,1.0,308586.686432,2402571.255784,308589.532704,2402588.25028,1.0,308588.109568,2402579.753032,17.231197,0.165942,HP,1,0,0,0,1,0
34,0,3,H,11658,1.0,308589.532704,2402588.25028,308593.781312,2402596.500136,1.0,308591.657008,2402592.375208,9.27959,0.475569,HO,1,0,0,0,1,0
39,0,3,H,11680,1.0,308576.717792,2402713.49684,308593.904416,2402696.503464,1.0,308585.311104,2402705.000152,24.169296,2.350541,HO,1,0,0,0,1,0
43,0,3,H,11786,1.0,308397.66848,2402841.869801,308384.001088,2402846.745833,1.0,308390.834784,2402844.307817,14.511144,1.913484,HV,1,0,0,0,1,0
47,0,3,H,11857,1.0,308750.968705,2402966.245033,308754.749889,2402972.006665,1.0,308752.859297,2402969.125849,6.891571,0.58077,HO,1,0,0,0,1,0
48,0,3,H,11866,1.0,308794.967585,2402990.253545,308803.329409,2402994.196233,1.0,308799.148497,2402992.224889,9.244722,1.130199,HO,1,0,0,0,1,0
61,0,3,H,11973,1.0,308456.531104,2403101.996617,308454.688672,2403085.002089,1.0,308455.609888,2403093.499353,17.094108,0.107991,HP,1,0,0,0,1,0
62,0,3,H,11977,1.0,308149.595008,2403112.749033,308149.595008,2403144.497193,1.0,308149.595008,2403128.623113,31.74816,0.0,HP,1,0,0,0,1,0
64,0,3,H,11983,1.0,308235.65472,2403149.502281,308251.219552,2403150.753577,1.0,308243.437136,2403150.127929,15.615048,1.490576,HV,1,0,0,0,1,0
65,0,3,H,11994,1.0,308448.060224,2403139.550857,308448.061152,2403144.002409,1.0,308448.060688,2403141.776633,4.451552,0.000208,HP,1,0,0,0,1,0
70,0,3,H,12101,1.0,308511.530144,2403299.250985,308524.592416,2403312.244233,1.0,308518.06128,2403305.747609,18.4241,0.788047,HO,1,0,0,0,1,0
71,0,3,H,12102,1.0,308524.592416,2403312.244233,308541.532224,2403317.744169,1.0,308533.06232,2403314.994201,17.810289,1.256858,HV,1,0,0,0,1,0
72,0,3,H,12120,1.0,308560.218112,2403339.249001,308570.529952,2403353.244009,1.0,308565.374032,2403346.246505,17.383736,0.635014,HO,1,0,0,0,1,0
76,0,3,H,12149,1.0,308575.12144,2403344.011593,308589.092544,2403351.500105,1.0,308582.106992,2403347.755849,15.851484,1.078765,HO,1,0,0,0,1,0
77,0,3,H,12150,1.0,308589.092544,2403351.500105,308625.27328,2403381.386889,1.0,308607.182912,2403366.443497,46.928302,0.880377,HO,1,0,0,0,1,0
78,0,3,H,12153,1.0,308613.374624,2403385.997385,308625.27328,2403381.386889,1.0,308619.323952,2403383.692137,12.76067,1.940464,HO,1,0,0,0,1,0
