,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
5,0,1,H,11946,0.0,306912.500543,2403032.505641,306944.345535,2402958.505897,1.0,306928.423039,2402995.505769,80.560944,2.735208,HO,1,0,0,0,1,0
11,0,2,H,11600,1.0,307836.261856,2402574.504168,307835.704512,2402575.538536,1.0,307835.983184,2402575.021352,1.174968,2.647369,HO,1,0,0,0,1,0
18,0,2,H,12060,1.0,307428.625823,2403251.497641,307439.281855,2403213.245673,1.0,307433.953839,2403232.371657,39.708489,2.869906,HP,1,0,0,0,1,0
19,0,2,H,12112,1.0,307391.061247,2403343.497609,307399.407519,2403315.998121,1.0,307395.234383,2403329.747865,28.738164,2.846922,HP,1,0,0,0,1,0
21,0,3,H,11570,1.0,308475.657088,2402547.248392,308492.624224,2402547.248392,1.0,308484.140656,2402547.248392,16.967136,1.570796,HV,1,0,0,0,1,0
23,0,3,H,11583,1.0,308596.654976,2402558.495592,308595.156288,2402572.754472,1.0,308595.905632,2402565.625032,14.337424,3.036872,HP,1,0,0,0,1,0
32,0,3,H,11656,1.0,308588.157696,2402549.998344,308586.686432,2402571.255784,1.0,308587.422064,2402560.627064,21.308294,3.072491,HP,1,0,0,0,1,0
35,0,3,H,11659,1.0,308593.781312,2402596.500136,308592.282624,2402616.244616,1.0,308593.031968,2402606.372376,19.801277,3.065834,HP,1,0,0,0,1,0
39,0,3,H,11680,1.0,308576.717792,2402713.49684,308593.904416,2402696.503464,1.0,308585.311104,2402705.000152,24.169296,2.350541,HO,1,0,0,0,1,0
44,0,3,H,11787,1.0,308384.001088,2402846.745833,308384.001088,2402856.756041,1.0,308384.001088,2402851.750937,10.010208,0.0,HP,1,0,0,0,1,0
47,0,3,H,11857,1.0,308750.968705,2402966.245033,308754.749889,2402972.006665,1.0,308752.859297,2402969.125849,6.891571,0.58077,HO,1,0,0,0,1,0
48,0,3,H,11866,1.0,308794.967585,2402990.253545,308803.329409,2402994.196233,1.0,308799.148497,2402992.224889,9.244722,1.130199,HO,1,0,0,0,1,0
59,0,3,H,11969,1.0,308448.060224,2403139.550857,308448.061152,2403134.501257,1.0,308448.060688,2403137.026057,5.0496,3.141409,HP,1,0,0,0,1,0
60,0,3,H,11970,1.0,308448.061152,2403134.501257,308452.74992,2403125.247497,1.0,308450.405536,2403129.874377,10.373843,2.672609,HO,1,0,0,0,1,0
62,0,3,H,11977,1.0,308149.595008,2403112.749033,308149.595008,2403144.497193,1.0,308149.595008,2403128.623113,31.74816,0.0,HP,1,0,0,0,1,0
64,0,3,H,11983,1.0,308235.65472,2403149.502281,308251.219552,2403150.753577,1.0,308243.437136,2403150.127929,15.615048,1.490576,HV,1,0,0,0,1,0
70,0,3,H,12101,1.0,308511.530144,2403299.250985,308524.592416,2403312.244233,1.0,308518.06128,2403305.747609,18.4241,0.788047,HO,1,0,0,0,1,0
71,0,3,H,12102,1.0,308524.592416,2403312.244233,308541.532224,2403317.744169,1.0,308533.06232,2403314.994201,17.810289,1.256858,HV,1,0,0,0,1,0
72,0,3,H,12120,1.0,308560.218112,2403339.249001,308570.529952,2403353.244009,1.0,308565.374032,2403346.246505,17.383736,0.635014,HO,1,0,0,0,1,0
76,0,3,H,12149,1.0,308575.12144,2403344.011593,308589.092544,2403351.500105,1.0,308582.106992,2403347.755849,15.851484,1.078765,HO,1,0,0,0,1,0
77,0,3,H,12150,1.0,308589.092544,2403351.500105,308625.27328,2403381.386889,1.0,308607.182912,2403366.443497,46.928302,0.880377,HO,1,0,0,0,1,0
82,0,3,H,12267,1.0,308148.343712,2402965.502857,308214.404352,2402963.092393,1.0,308181.374032,2402964.297625,66.104603,1.607269,HV,1,0,0,0,1,0
84,0,3,H,12275,1.0,308436.813984,2403174.746633,308444.28,2403153.503529,1.0,308440.546992,2403164.125081,22.516902,2.803621,HP,1,0,0,0,1,0
104,0,3,H,12343,1.0,308730.344288,2402603.251208,308755.437409,2402589.254184,1.0,308742.890849,2402596.252696,28.732932,2.079611,HO,1,0,0,0,1,0
106,0,4,H,11605,1.0,309852.751714,2402618.747144,309863.311426,2402618.747144,1.0,309858.03157,2402618.747144,10.559712,1.570796,HV,1,0,0,0,1,0
108,0,4,H,11607,1.0,309863.187714,2402612.243368,309882.657442,2402616.244616,1.0,309872.922578,2402614.243992,19.876627,1.368107,HV,1,0,0,0,1,0
109,0,4,H,11650,1.0,308945.597537,2402653.673608,308946.751777,2402661.000328,1.0,308946.174657,2402657.336968,7.417081,0.156254,HP,1,0,0,0,1,0
112,0,4,H,11768,1.0,309457.844705,2402777.50292,309456.469505,2402785.242952,1.0,309457.157105,2402781.372936,7.861251,2.965754,HP,1,1,0,0,1,1
115,0,4,H,11771,1.0,309479.967809,2402799.749224,309483.748993,2402810.006888,1.0,309481.858401,2402804.878056,10.932384,0.353166,HO,1,0,0,0,1,0
116,0,4,H,11772,1.0,309483.748993,2402810.006888,309477.314209,2402841.245897,1.0,309480.531601,2402825.626393,31.894861,2.938448,HP,1,0,0,0,1,0
118,0,4,H,11784,1.0,309835.935586,2402850.252233,309872.24877,2402859.244265,1.0,309854.092178,2402854.748249,37.409945,1.328055,HV,1,0,0,0,1,0
139,0,4,H,12089,0.0,309896.187138,2403317.496777,309942.249026,2403320.247177,0.0,309919.218082,2403318.871977,46.143929,1.511156,HV,1,0,0,0,1,0
143,0,4,H,12140,1.0,309884.376162,2403320.246729,309879.220002,2403330.999145,1.0,309881.798082,2403325.622937,11.924782,2.694451,HO,1,0,0,0,1,0
149,0,4,H,12195,1.0,309071.750913,2403488.502921,309087.439425,2403485.752969,1.0,309079.595169,2403487.127945,15.927701,1.744318,HV,1,0,0,0,1,0
150,0,4,H,12196,1.0,309087.439425,2403485.752969,309104.062849,2403479.249193,1.0,309095.751137,2403482.501081,17.850415,1.94373,HO,1,0,0,0,1,0
152,0,4,H,12221,1.0,309538.156993,2403576.748617,309483.625409,2403514.238121,1.0,309510.891201,2403545.493369,82.953335,0.717332,HO,1,0,0,0,1,0
158,0,4,H,12338,1.0,309204.189441,2403442.001769,309206.940961,2403445.764585,1.0,309205.565201,2403443.883177,4.661507,0.631386,HO,1,0,0,0,1,0
160,0,4,H,12359,1.0,309206.251201,2403241.749385,309230.313281,2403252.996585,1.0,309218.282241,2403247.372985,26.560934,1.133547,HO,1,0,0,0,1,0
161,0,4,H,12360,1.0,309230.313281,2403252.996585,309258.967937,2403274.005321,1.0,309244.640609,2403263.500953,35.531061,0.938154,HO,1,0,0,0,1,0
171,0,5,H,11617,1.0,310360.406946,2402624.24708,310338.874786,2402627.50612,1.0,310349.640866,2402625.8766,21.777402,1.721013,HV,1,0,0,0,1,0
172,0,5,H,11618,1.0,310338.874786,2402627.50612,310308.281538,2402643.496744,1.0,310323.578162,2402635.501432,34.520239,2.052427,HO,1,0,0,0,1,0
176,0,5,H,11663,1.0,310218.468034,2402668.493704,310256.032258,2402612.99988,1.0,310237.250146,2402640.746792,67.012204,2.546533,HO,1,1,0,0,1,1
177,0,5,H,11664,1.0,310256.032258,2402612.99988,310282.157026,2402591.247624,1.0,310269.094642,2402602.123752,33.995061,2.265119,HO,1,0,0,0,1,0
178,0,5,H,11665,1.0,310282.157026,2402591.247624,310301.40669,2402581.004296,1.0,310291.781858,2402586.12596,21.805397,2.059817,HO,1,0,0,0,1,0
179,0,5,H,11666,1.0,310301.40669,2402581.004296,310325.24813,2402560.751144,1.0,310313.32741,2402570.87772,31.282654,2.274996,HO,1,0,0,0,1,0
182,0,5,H,11677,1.0,310061.404322,2402684.25124,310047.187138,2402650.757064,1.0,310054.29573,2402667.504152,36.386648,0.401419,HO,1,0,0,0,1,0
189,0,5,H,11807,1.0,310788.437314,2402870.244105,310794.968162,2402875.003593,1.0,310791.702738,2402872.623849,8.081132,0.941021,HO,1,0,0,0,1,0
193,0,5,H,11889,1.0,310609.250306,2402985.247305,310642.373442,2403024.997929,1.0,310625.811874,2403005.122617,51.74219,0.694703,HO,1,0,0,0,1,0
207,0,5,H,11947,1.0,310675.249154,2403066.494601,310699.751362,2403096.744073,1.0,310687.500258,2403081.619337,38.927994,0.680812,HO,1,0,0,0,1,0
217,0,5,H,12024,1.0,310793.937218,2403204.253961,310809.185442,2403229.745257,1.0,310801.56133,2403216.999609,29.703779,0.539076,HO,1,0,0,0,1,0
226,0,5,H,12078,1.0,310030.21997,2403312.505993,310067.00061,2403290.753737,1.0,310048.61029,2403301.629865,42.731442,2.104872,HO,1,0,0,0,1,0
