,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
125,0,4,H,11834,1.0,309355.884577,2402946.046441,309358.634177,2402950.743689,1.0,309357.259377,2402948.395065,5.442834,0.529588,HO,0,1,0,1,0,0
130,0,4,H,11850,1.0,309348.208545,2402948.796041,309352.103841,2402956.815753,1.0,309350.156193,2402952.805897,8.915667,0.452155,HO,0,1,0,1,0,0
131,0,4,H,11851,1.0,309352.103841,2402956.815753,309356.801121,2402959.565417,1.0,309354.452481,2402958.190585,5.442894,1.041201,HO,0,1,0,1,0,0
162,0,4,H,12368,1.0,309316.817089,2402956.930345,309324.034817,2402966.324905,1.0,309320.425953,2402961.627625,11.847082,0.655103,HO,0,1,0,1,0,0
213,0,5,H,12010,1.0,310868.529698,2403152.499625,310887.311939,2403177.001801,1.0,310877.920818,2403164.750713,30.872791,0.654012,HO,0,1,0,1,0,0
241,0,5,H,12200,1.0,310632.624898,2403505.744809,310653.125858,2403505.744809,1.0,310642.875378,2403505.744809,20.50096,1.570796,HV,0,1,0,1,0,0
321,0,6,H,12125,1.0,310991.906435,2403358.004265,311023.063459,2403345.752809,1.0,311007.484947,2403351.878537,33.479222,1.945441,HO,0,1,0,1,0,0
377,1,1,H,10969,1.0,306893.944479,2401741.827879,306894.873183,2401742.007463,1.0,306894.408831,2401741.917671,0.945908,1.379783,HV,1,1,0,1,1,0
378,1,1,H,10970,1.0,306894.873183,2401742.007463,306896.011135,2401741.867303,1.0,306895.442159,2401741.937383,1.146551,1.693348,HV,1,1,0,1,1,0
379,1,1,H,10971,1.0,306861.283135,2401742.995719,306893.944479,2401741.827879,1.0,306877.613807,2401742.411799,32.682216,1.606537,HV,1,1,0,1,1,0
620,1,6,H,10861,1.0,311834.093219,2401592.546503,311850.716355,2401583.991719,1.0,311842.404787,2401588.269111,18.695266,2.04608,HO,0,1,0,1,0,0
669,1,6,H,14780,1.0,311865.713827,2401623.937991,311888.969059,2401587.995495,1.0,311877.341443,2401605.966743,42.809682,2.567321,HO,0,1,0,1,0,0
686,1,7,H,11018,1.0,312327.764356,2401783.530472,312332.117924,2401791.550184,1.0,312329.94114,2401787.540328,9.125203,0.497344,HO,0,1,0,1,0,0
701,1,7,H,11169,1.0,312586.22026,2402112.49284,312632.501732,2402100.999624,1.0,312609.360996,2402106.746232,47.687196,1.814205,HV,0,1,0,1,0,0
710,1,7,H,11268,1.0,312541.890948,2402037.526504,312526.309764,2402023.091016,1.0,312534.100356,2402030.30876,21.240447,0.823548,HO,0,1,0,1,0,0
908,2,5,H,10306,1.0,310008.809666,2400785.193671,310042.374722,2400783.743815,1.0,310025.592194,2400784.468743,33.596355,1.613965,HV,0,1,0,1,0,0
910,2,5,H,10317,1.0,310005.48205,2400811.654727,309956.44717,2400802.718503,1.0,309980.96461,2400807.186615,49.842508,1.390532,HV,1,1,1,1,0,0
931,2,5,H,10403,1.0,310870.688482,2400927.003015,310881.688259,2400917.254503,1.0,310876.18837,2400922.128759,14.697911,2.295961,HO,0,1,0,1,0,0
933,2,5,H,10405,0.0,310869.217154,2400976.749575,310904.951843,2400978.208903,1.0,310887.084498,2400977.479239,35.764474,1.529981,HV,0,1,0,1,0,0
997,2,6,H,10564,1.0,311354.748739,2401179.751783,311368.555971,2401165.962343,1.0,311361.652355,2401172.857063,19.513798,2.35555,HO,1,1,1,1,0,0
1002,2,6,H,10617,1.0,311396.905923,2401201.998279,311408.939811,2401214.207143,1.0,311402.922867,2401208.102711,17.142661,0.778181,HO,0,1,0,1,0,0
1006,2,6,H,10720,1.0,311532.780771,2401372.920711,311548.591107,2401351.840295,1.0,311540.685939,2401362.380503,26.350534,2.498091,HO,1,1,0,1,1,0
1010,2,6,H,10724,1.0,311526.937827,2401318.959431,311500.587331,2401317.699175,1.0,311513.762579,2401318.329303,26.380616,1.523006,HV,0,1,0,1,0,0
1022,2,6,H,10764,1.0,311658.022723,2401429.370695,311657.086467,2401430.777255,1.0,311657.554595,2401430.073975,1.68967,2.554304,HO,1,1,0,1,1,0
1028,2,6,H,10832,1.0,311813.936003,2401506.501127,311825.843811,2401503.750855,1.0,311819.889907,2401505.125991,12.221288,1.79778,HV,0,1,0,1,0,0
1029,2,6,H,10839,1.0,311787.235139,2401527.472199,311777.611427,2401520.025319,1.0,311782.423283,2401523.748759,12.168478,0.912233,HO,0,1,0,1,0,0
1030,2,6,H,10840,1.0,311777.611427,2401520.025319,311773.601571,2401508.224871,1.0,311775.606499,2401514.125095,12.463126,0.327564,HP,0,1,0,1,0,0
1072,2,7,H,10673,1.0,312761.28762,2401281.381287,312741.009156,2401283.901767,1.0,312751.148388,2401282.641527,20.434503,1.694456,HV,1,1,0,1,1,0
1083,2,7,H,10822,1.0,312424.68762,2401473.501383,312437.52986,2401497.756135,1.0,312431.10874,2401485.628759,27.444783,0.486947,HO,1,1,1,1,0,0
1095,2,8,H,10144,0.0,313405.729573,2400555.940166,313418.782693,2400569.49335,0.0,313412.256133,2400562.716758,18.816821,0.766605,HO,0,1,0,1,0,0
1097,2,8,H,10164,1.0,313067.640997,2400580.343046,313084.253253,2400576.333158,1.0,313075.947125,2400578.338102,17.089361,1.807647,HV,1,1,0,1,1,0
1102,2,8,H,10203,1.0,313067.648325,2400629.298438,313085.845413,2400625.49783,1.0,313076.746869,2400627.398134,18.589745,1.776695,HV,0,1,0,1,0,0
1141,2,8,H,10584,1.0,312942.407812,2401173.000103,312950.974084,2401197.392679,1.0,312946.690948,2401185.196391,25.853023,0.337729,HP,0,1,0,1,0,0
1173,3,2,H,9641,0.0,307865.36464,2399574.872645,307916.34384,2399580.006821,1.0,307890.85424,2399577.439733,51.237082,1.470424,HV,1,1,0,1,1,0
1174,3,2,H,9675,0.0,307865.36464,2399574.872645,307876.360448,2399604.915749,1.0,307870.862544,2399589.894197,31.992122,0.350858,HO,1,1,1,1,0,0
1179,3,2,H,9725,1.0,307915.771648,2399743.19863,307899.097792,2399785.095238,1.0,307907.43472,2399764.146934,45.092607,2.762832,HO,0,1,0,1,0,0
1181,3,2,H,9770,0.0,307864.218432,2399574.754309,307875.561984,2399605.74599,1.0,307869.890208,2399590.25015,33.002431,0.350874,HO,1,1,1,1,0,0
1185,3,2,H,9776,1.0,307914.845152,2399743.24359,307898.00112,2399785.249574,1.0,307906.423136,2399764.246582,45.25731,2.760232,HO,0,1,0,1,0,0
1206,3,3,H,9953,1.0,307971.094912,2400105.248518,307979.592768,2400139.003654,1.0,307975.34384,2400122.126086,34.808372,0.246625,HP,0,1,0,1,0,0
1207,3,3,H,9954,1.0,307979.592768,2400139.003654,307954.279392,2400158.748102,1.0,307966.93608,2400148.875878,32.103119,2.233223,HO,0,1,0,1,0,0
1234,3,3,H,12838,1.0,307975.919552,2400444.580614,308023.808768,2400449.621574,1.0,307999.86416,2400447.101094,48.153798,1.46592,HV,0,1,0,1,0,0
1254,3,4,H,9871,1.0,309300.437153,2400062.499814,309267.561313,2399992.252294,1.0,309283.999233,2400027.376054,77.55988,0.437721,HO,0,1,0,1,0,0
1292,3,4,H,10097,1.0,309357.488513,2400423.843878,309339.386849,2400404.36743,1.0,309348.437681,2400414.105654,26.589514,0.74883,HO,0,1,0,1,0,0
1331,3,5,H,10086,1.0,310580.49949,2400478.004326,310585.875746,2400449.006118,1.0,310583.187618,2400463.505222,29.492375,2.958275,HP,1,1,0,1,1,0
1426,4,2,H,9630,0.0,307934.43856,2399398.000869,307920.4688,2399411.998053,1.0,307927.45368,2399404.999461,19.775625,2.357175,HO,0,1,0,1,0,0
1427,4,2,H,9633,0.0,307934.43856,2399454.003813,307903.625312,2399465.251013,1.0,307919.031936,2399459.627413,32.801765,1.920782,HO,0,1,0,1,0,0
1428,4,2,H,9634,1.0,307903.625312,2399465.251013,307900.75168,2399479.248165,1.0,307902.188496,2399472.249589,14.289088,2.939105,HP,0,1,0,1,0,0
1429,4,2,H,9635,1.0,307900.75168,2399479.248165,307875.561984,2399493.507045,1.0,307888.156832,2399486.377605,28.945405,2.085886,HO,0,1,0,1,0,0
1430,4,2,H,9636,1.0,307875.561984,2399493.507045,307884.03168,2399516.000965,1.0,307879.796832,2399504.754005,24.035644,0.360114,HO,0,1,0,1,0,0
1431,4,2,H,9637,1.0,307884.03168,2399516.000965,307869.842016,2399532.748549,1.0,307876.936848,2399524.374757,21.950584,2.438688,HO,0,1,0,1,0,0
1432,4,2,H,9638,1.0,307869.842016,2399532.748549,307881.1856,2399555.242949,1.0,307875.513808,2399543.995749,25.192755,0.46707,HO,1,1,1,1,0,0
1435,4,2,H,12985,1.0,307833.281472,2399156.499845,307869.93856,2399159.249765,1.0,307851.610016,2399157.874805,36.760089,1.495919,HV,1,1,0,1,1,0
1448,4,3,H,9076,1.0,308457.562304,2398802.003397,308504.761824,2398803.215269,1.0,308481.162064,2398802.609333,47.215075,1.545126,HV,0,1,0,1,0,0
1455,4,3,H,9113,1.0,308513.70048,2398844.442309,308537.407296,2398843.252677,1.0,308525.553888,2398843.847493,23.736646,1.620935,HV,0,1,0,1,0,0
1464,4,3,H,9250,1.0,308568.8016,2399034.315141,308584.28016,2399035.501957,1.0,308576.54088,2399034.908549,15.523993,1.494271,HV,1,1,1,1,0,0
1480,4,3,H,9628,1.0,307971.094912,2399383.754213,307968.125472,2399402.249509,1.0,307969.610192,2399393.001861,18.732153,2.9824,HP,0,1,0,1,0,0
1653,4,7,H,9059,1.0,312430.65498,2398758.251557,312455.7521,2398725.966565,1.0,312443.20354,2398742.109061,40.892373,2.480809,HO,0,1,0,1,0,0
1691,4,7,H,9451,1.0,312616.47434,2399219.739941,312628.38938,2399218.479717,1.0,312622.43186,2399219.109829,11.9815,1.676172,HV,0,1,0,1,0,0
1696,4,7,H,9479,1.0,312096.686756,2399269.756997,312097.814372,2399288.002789,1.0,312097.250564,2399278.879893,18.280603,0.061723,HP,1,1,0,1,1,0
1712,4,7,H,9534,1.0,312286.282852,2399384.744613,312269.57706,2399346.561861,1.0,312277.929956,2399365.653237,41.677404,0.412429,HO,0,1,0,1,0,0
1727,4,7,H,13209,1.0,312571.5209,2399205.801509,312577.427652,2399237.264869,1.0,312574.474276,2399221.533189,32.013009,0.185574,HP,1,1,0,1,0,0
1731,4,7,H,13225,1.0,312825.68586,2399197.254341,312828.188452,2399183.242853,1.0,312826.937156,2399190.248597,14.233227,2.964846,HP,0,1,0,1,0,0
1751,4,8,H,9314,1.0,313731.094693,2399134.500229,313752.420677,2399099.649733,1.0,313741.757685,2399117.074981,40.857737,2.592449,HO,1,1,1,1,0,0
1752,4,8,H,9323,1.0,312968.540132,2399149.280933,312973.00106,2399136.246117,1.0,312970.770596,2399142.763525,13.777021,2.811855,HP,1,1,1,1,0,0
1756,4,8,H,9333,1.0,312980.111428,2399164.862117,312981.486244,2399163.487333,1.0,312980.798836,2399164.174725,1.944261,2.356183,HO,1,1,0,1,1,0
1757,4,8,H,9336,1.0,312970.831492,2399148.478981,312974.612228,2399137.480517,1.0,312972.72186,2399142.979749,11.630141,2.810495,HP,1,1,1,1,0,0
1759,4,8,H,9350,1.0,313090.439909,2399170.934213,313106.470373,2399122.248933,1.0,313098.455141,2399146.591573,51.256534,2.823506,HP,0,1,0,1,0,0
1765,4,8,H,9380,1.0,312996.949476,2399176.595909,313015.971076,2399171.621605,1.0,313006.460276,2399174.108757,19.661255,1.826577,HV,1,1,0,1,1,0
