,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
13,0,2,H,11854,1.0,306948.598719,2402961.505225,306952.842303,2402964.498985,1.0,306950.720511,2402963.002105,5.193323,0.956403,HO,1,0,1,0,0,0
22,0,3,H,11571,0.0,308492.624224,2402547.248392,308505.219072,2402541.748488,0.0,308498.921648,2402544.49844,13.743331,1.982517,HO,1,0,1,0,0,0
36,0,3,H,11660,1.0,308592.282624,2402616.244616,308605.001184,2402656.999112,1.0,308598.641904,2402636.621864,42.692982,0.3025,HP,1,0,1,0,0,0
37,0,3,H,11661,1.0,308605.001184,2402656.999112,308605.00176,2402666.74644,1.0,308605.001472,2402661.872776,9.747328,5.9e-05,HP,1,0,1,0,0,0
40,0,3,H,11747,1.0,308440.595168,2402788.99684,308470.0608,2402805.743912,1.0,308455.327984,2402797.370376,33.892298,1.053967,HO,1,0,1,0,0,0
41,0,3,H,11766,1.0,308716.594304,2402791.004616,308710.530432,2402837.243049,1.0,308713.562368,2402814.123833,46.634357,3.011193,HP,1,0,1,0,0,0
42,0,3,H,11767,1.0,308726.686592,2402839.252457,308737.686049,2402813.252328,1.0,308732.18632,2402826.252392,28.231096,2.741371,HO,1,0,1,0,0,0
43,0,3,H,11786,1.0,308397.66848,2402841.869801,308384.001088,2402846.745833,1.0,308390.834784,2402844.307817,14.511144,1.913484,HV,1,0,1,0,0,0
45,0,3,H,11830,1.0,308472.467008,2402950.501865,308498.564192,2402942.004585,1.0,308485.5156,2402946.253225,27.445706,1.885572,HV,1,0,1,0,0,0
46,0,3,H,11831,1.0,308498.564192,2402942.004585,308519.188864,2402941.000713,1.0,308508.876528,2402941.502649,20.649088,1.619431,HV,1,0,1,0,0,0
49,0,3,H,11869,1.0,308754.749889,2402972.006665,308787.405569,2403000.000969,1.0,308771.077729,2402986.003817,43.012492,0.862104,HO,1,0,1,0,0,0
50,0,3,H,11877,1.0,308804.101601,2403008.550665,308800.467873,2403018.755849,1.0,308802.284737,2403013.653257,10.832809,2.799523,HP,1,0,1,0,0,0
58,0,3,H,11955,1.0,308149.595008,2403112.749033,308199.094176,2403109.999081,1.0,308174.344592,2403111.374057,49.575497,1.626295,HV,1,0,1,0,0,0
63,0,3,H,11982,1.0,308149.595008,2403144.497193,308173.65712,2403148.003625,1.0,308161.626064,2403146.250409,24.316256,1.426091,HV,1,0,1,0,0,0
73,0,3,H,12137,1.0,308559.18624,2403372.002089,308563.875584,2403357.000009,1.0,308561.530912,2403364.501049,15.717899,2.838635,HP,1,0,1,0,0,0
74,0,3,H,12138,1.0,308563.875584,2403357.000009,308570.529952,2403353.244009,1.0,308567.202768,2403355.122009,7.641214,2.084659,HO,1,0,1,0,0,0
78,0,3,H,12153,1.0,308613.374624,2403385.997385,308625.27328,2403381.386889,1.0,308619.323952,2403383.692137,12.76067,1.940464,HO,1,0,1,0,0,0
81,0,3,H,12266,1.0,308358.46768,2402882.247785,308357.241152,2402892.754665,1.0,308357.854416,2402887.501225,10.578228,3.025383,HP,1,0,1,0,0,0
83,0,3,H,12273,1.0,308038.1256,2403354.497449,308039.098976,2403327.621385,1.0,308038.612288,2403341.059417,26.893685,3.105391,HP,1,0,1,0,0,0
89,0,3,H,12286,1.0,308741.687617,2402809.250376,308763.331713,2402801.179208,1.0,308752.509665,2402805.214792,23.100014,1.927728,HO,1,0,1,0,0,0
94,0,3,H,12296,1.0,308563.999264,2403330.999145,308570.406752,2403319.751945,1.0,308567.203008,2403325.375545,12.94432,2.623753,HO,1,0,1,0,0,0
107,0,4,H,11606,1.0,309863.311426,2402618.747144,309863.187714,2402612.243368,1.0,309863.24957,2402615.495256,6.504952,0.019019,HP,1,0,1,0,0,0
