,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
112,0,4,H,11768,1.0,309457.844705,2402777.50292,309456.469505,2402785.242952,1.0,309457.157105,2402781.372936,7.861251,2.965754,HP,1,1,0,0,1,1
113,0,4,H,11769,1.0,309456.469505,2402785.242952,309461.625633,2402794.496712,1.0,309459.047569,2402789.869832,10.593287,0.508349,HO,1,1,0,0,0,1
125,0,4,H,11834,1.0,309355.884577,2402946.046441,309358.634177,2402950.743689,1.0,309357.259377,2402948.395065,5.442834,0.529588,HO,0,1,0,1,0,0
126,0,4,H,11835,1.0,309358.634177,2402950.743689,309362.071201,2402952.233065,1.0,309360.352689,2402951.488377,3.745848,1.161889,HO,0,1,0,0,0,1
127,0,4,H,11836,1.0,309362.071201,2402952.233065,309369.174369,2402950.972809,1.0,309365.622785,2402951.602937,7.2141,1.746391,HV,0,1,0,0,0,1
128,0,4,H,11840,1.0,309403.430081,2402929.892425,309409.616705,2402923.476649,1.0,309406.523393,2402926.684537,8.912716,2.374376,HO,1,1,1,0,0,1
129,0,4,H,11841,1.0,309409.616705,2402923.476649,309409.940929,2402921.899817,1.0,309409.778817,2402922.688233,1.60982,2.938802,HP,1,1,1,0,0,1
130,0,4,H,11850,1.0,309348.208545,2402948.796041,309352.103841,2402956.815753,1.0,309350.156193,2402952.805897,8.915667,0.452155,HO,0,1,0,1,0,0
131,0,4,H,11851,1.0,309352.103841,2402956.815753,309356.801121,2402959.565417,1.0,309354.452481,2402958.190585,5.442894,1.041201,HO,0,1,0,1,0,0
132,0,4,H,11852,1.0,309356.801121,2402959.565417,309361.842081,2402959.794505,1.0,309359.321601,2402959.679961,5.046163,1.525382,HV,0,1,0,0,0,1
134,0,4,H,11975,1.0,309269.840257,2403106.212457,309269.279905,2403142.751209,1.0,309269.560081,2403124.481833,36.543048,3.126258,HP,0,1,0,0,0,0
135,0,4,H,12007,1.0,309246.345537,2403193.501513,309269.279905,2403142.751209,1.0,309257.812721,2403168.126361,55.691818,2.717155,HO,0,1,0,0,0,1
162,0,4,H,12368,1.0,309316.817089,2402956.930345,309324.034817,2402966.324905,1.0,309320.425953,2402961.627625,11.847082,0.655103,HO,0,1,0,1,0,0
163,0,4,H,12369,1.0,309324.034817,2402966.324905,309309.484737,2402974.459177,1.0,309316.759777,2402970.392041,16.669469,2.080564,HO,0,1,0,0,0,1
164,0,4,H,12370,1.0,309309.484737,2402974.459177,309294.934657,2402991.873417,1.0,309302.209697,2402983.166297,22.692743,2.445561,HO,0,1,0,0,0,1
166,0,4,H,12375,1.0,309281.530273,2402982.364329,309289.320865,2402968.272521,1.0,309285.425569,2402975.318425,16.101937,2.636567,HO,0,1,0,0,0,1
176,0,5,H,11663,1.0,310218.468034,2402668.493704,310256.032258,2402612.99988,1.0,310237.250146,2402640.746792,67.012204,2.546533,HO,1,1,0,0,1,1
196,0,5,H,11914,1.0,310290.976514,2402976.133385,310299.000482,2402987.749865,1.0,310294.988498,2402981.941625,14.11831,0.604484,HO,0,1,0,0,0,1
213,0,5,H,12010,1.0,310868.529698,2403152.499625,310887.311939,2403177.001801,1.0,310877.920818,2403164.750713,30.872791,0.654012,HO,0,1,0,1,0,0
241,0,5,H,12200,1.0,310632.624898,2403505.744809,310653.125858,2403505.744809,1.0,310642.875378,2403505.744809,20.50096,1.570796,HV,0,1,0,1,0,0
244,0,5,H,12218,1.0,310627.001314,2403531.993033,310632.624898,2403505.744809,1.0,310629.813106,2403518.868921,26.843881,2.930537,HP,0,1,0,0,0,1
290,0,6,H,11921,1.0,310993.061379,2403045.746249,311050.562947,2403021.244073,1.0,311021.812163,2403033.495161,62.504295,1.973609,HO,0,1,0,0,0,1
