,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
4,0,1,H,11945,1.0,306901.984575,2403091.755369,306912.500543,2403032.505641,1.0,306907.242559,2403062.130505,60.175708,2.965936,HP,1,0,0,0,0,0
5,0,1,H,11946,0.0,306912.500543,2403032.505641,306944.345535,2402958.505897,1.0,306928.423039,2402995.505769,80.560944,2.735208,HO,1,0,0,0,1,0
11,0,2,H,11600,1.0,307836.261856,2402574.504168,307835.704512,2402575.538536,1.0,307835.983184,2402575.021352,1.174968,2.647369,HO,1,0,0,0,1,0
12,0,2,H,11826,1.0,306984.563231,2402865.253801,306986.625567,2402835.498601,1.0,306985.594399,2402850.376201,29.826585,3.072393,HP,1,0,0,0,0,0
13,0,2,H,11854,1.0,306948.598719,2402961.505225,306952.842303,2402964.498985,1.0,306950.720511,2402963.002105,5.193323,0.956403,HO,1,0,1,0,0,0
18,0,2,H,12060,1.0,307428.625823,2403251.497641,307439.281855,2403213.245673,1.0,307433.953839,2403232.371657,39.708489,2.869906,HP,1,0,0,0,1,0
19,0,2,H,12112,1.0,307391.061247,2403343.497609,307399.407519,2403315.998121,1.0,307395.234383,2403329.747865,28.738164,2.846922,HP,1,0,0,0,1,0
21,0,3,H,11570,1.0,308475.657088,2402547.248392,308492.624224,2402547.248392,1.0,308484.140656,2402547.248392,16.967136,1.570796,HV,1,0,0,0,1,0
22,0,3,H,11571,0.0,308492.624224,2402547.248392,308505.219072,2402541.748488,0.0,308498.921648,2402544.49844,13.743331,1.982517,HO,1,0,1,0,0,0
23,0,3,H,11583,1.0,308596.654976,2402558.495592,308595.156288,2402572.754472,1.0,308595.905632,2402565.625032,14.337424,3.036872,HP,1,0,0,0,1,0
30,0,3,H,11646,1.0,308595.156288,2402572.754472,308600.779872,2402589.501576,1.0,308597.96808,2402581.128024,17.666075,0.323964,HP,1,0,0,0,0,0
31,0,3,H,11647,1.0,308600.779872,2402589.501576,308600.779872,2402614.745928,1.0,308600.779872,2402602.123752,25.244352,0.0,HP,1,0,0,0,0,0
32,0,3,H,11656,1.0,308588.157696,2402549.998344,308586.686432,2402571.255784,1.0,308587.422064,2402560.627064,21.308294,3.072491,HP,1,0,0,0,1,0
33,0,3,H,11657,1.0,308586.686432,2402571.255784,308589.532704,2402588.25028,1.0,308588.109568,2402579.753032,17.231197,0.165942,HP,1,0,0,0,0,0
34,0,3,H,11658,1.0,308589.532704,2402588.25028,308593.781312,2402596.500136,1.0,308591.657008,2402592.375208,9.27959,0.475569,HO,1,0,0,0,0,0
35,0,3,H,11659,1.0,308593.781312,2402596.500136,308592.282624,2402616.244616,1.0,308593.031968,2402606.372376,19.801277,3.065834,HP,1,0,0,0,1,0
36,0,3,H,11660,1.0,308592.282624,2402616.244616,308605.001184,2402656.999112,1.0,308598.641904,2402636.621864,42.692982,0.3025,HP,1,0,1,0,0,0
37,0,3,H,11661,1.0,308605.001184,2402656.999112,308605.00176,2402666.74644,1.0,308605.001472,2402661.872776,9.747328,5.9e-05,HP,1,0,1,0,0,0
39,0,3,H,11680,1.0,308576.717792,2402713.49684,308593.904416,2402696.503464,1.0,308585.311104,2402705.000152,24.169296,2.350541,HO,1,0,0,0,1,0
40,0,3,H,11747,1.0,308440.595168,2402788.99684,308470.0608,2402805.743912,1.0,308455.327984,2402797.370376,33.892298,1.053967,HO,1,0,1,0,0,0
41,0,3,H,11766,1.0,308716.594304,2402791.004616,308710.530432,2402837.243049,1.0,308713.562368,2402814.123833,46.634357,3.011193,HP,1,0,1,0,0,0
42,0,3,H,11767,1.0,308726.686592,2402839.252457,308737.686049,2402813.252328,1.0,308732.18632,2402826.252392,28.231096,2.741371,HO,1,0,1,0,0,0
43,0,3,H,11786,1.0,308397.66848,2402841.869801,308384.001088,2402846.745833,1.0,308390.834784,2402844.307817,14.511144,1.913484,HV,1,0,1,0,0,0
44,0,3,H,11787,1.0,308384.001088,2402846.745833,308384.001088,2402856.756041,1.0,308384.001088,2402851.750937,10.010208,0.0,HP,1,0,0,0,1,0
45,0,3,H,11830,1.0,308472.467008,2402950.501865,308498.564192,2402942.004585,1.0,308485.5156,2402946.253225,27.445706,1.885572,HV,1,0,1,0,0,0
