field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"0","0","1",H,"11674",0,306928.189087,2402702.497,306960.748447,2402600.748744,0,306944.468767,2402651.622872,106.830799,2.83189,HP,"0","0","0",
"1","0","1",H,"11678",1,306796.095039,2402711.503368,306928.189087,2402702.497,1,306862.142063,2402707.000184,132.400726,1.638872,HV,"0","0","0",
"2","0","1",H,"11731",1,306893.498271,2402799.749224,306928.189087,2402702.497,1,306910.843679,2402751.123112,103.254287,2.798953,HP,"0","0","0",
"3","0","1",H,"11849",0,306849.155295,2402924.500969,306944.345535,2402958.505897,1,306896.750415,2402941.503433,101.081734,1.227694,HV,"1","0","0",
"4","0","1",H,"11945",1,306901.984575,2403091.755369,306912.500543,2403032.505641,1,306907.242559,2403062.130505,60.175708,2.965936,HP,"1","0","0",
"5","0","1",H,"11946",0,306912.500543,2403032.505641,306944.345535,2402958.505897,1,306928.423039,2402995.505769,80.560944,2.735208,HO,"1","0","0",
"6","0","1",H,"12240",1,306583.500766,2403346.964297,306566.240702,2403389.196937,1,306574.870734,2403368.080617,45.623521,2.753617,HO,"0","0","0",
"7","0","1",H,"12241",1,306639.375071,2403210.248617,306588.211359,2403335.438089,1,306613.793215,2403272.843353,135.241005,2.753617,HO,"0","0","0",
"8","0","1",H,"12242",1,306639.375071,2403210.248617,306726.281055,2403241.647721,1,306682.828063,2403225.948169,92.404295,1.224091,HV,"0","0","0",
"9","0","1",H,"12243",1,306769.627519,2403261.040393,306810.876031,2403282.256489,1,306790.251775,2403271.648441,46.384938,1.095736,HO,"0","0","0",
"10","0","1",H,"12244",1,306826.659039,2403289.810761,306851.094079,2403301.506153,1,306838.876559,2403295.658457,27.089728,1.124389,HO,"0","0","0",
"12","0","2",H,"11826",1,306984.563231,2402865.253801,306986.625567,2402835.498601,1,306985.594399,2402850.376201,29.826585,3.072393,HP,"1","0","0",
"13","0","2",H,"11854",1,306948.598719,2402961.505225,306952.842303,2402964.498985,1,306950.720511,2402963.002105,5.193323,0.956403,HO,"1","0","0",
"14","0","2",H,"11976",1,307206.938175,2403042.996297,307346.594591,2403144.497129,1,307276.766383,2403093.746713,172.645108,0.942316,HO,"0","0","0",
"15","0","2",H,"12020",1,307619.156287,2403195.247561,307646.779487,2403212.256393,1,307632.967887,2403203.751977,32.439814,1.01888,HO,"0","0","0",
"16","0","2",H,"12021",1,307646.779487,2403212.256393,307656.156959,2403223.751017,1,307651.468223,2403218.003705,14.834533,0.684309,HO,"0","0","0",
"17","0","2",H,"12054",1,307168.782591,2403206.000009,307300.092767,2403246.245385,1,307234.437679,2403226.122697,137.339188,1.273395,HV,"0","0","0",
"18","0","2",H,"12060",1,307428.625823,2403251.497641,307439.281855,2403213.245673,1,307433.953839,2403232.371657,39.708489,2.869906,HP,"1","0","0",
"19","0","2",H,"12112",1,307391.061247,2403343.497609,307399.407519,2403315.998121,1,307395.234383,2403329.747865,28.738164,2.846922,HP,"1","0","0",
"20","0","2",H,"14699",1,306963.45,2403357.595308,307007.717663,2403199.743625,1,306985.583832,2403278.669467,163.941391,2.868178,HP,"0","0","0",
"106","0","4",H,"11605",1,309852.751714,2402618.747144,309863.311426,2402618.747144,1,309858.03157,2402618.747144,10.559712,1.570796,HV,"1","0","0",
"107","0","4",H,"11606",1,309863.311426,2402618.747144,309863.187714,2402612.243368,1,309863.24957,2402615.495256,6.504952,0.019019,HP,"1","0","0",
"108","0","4",H,"11607",1,309863.187714,2402612.243368,309882.657442,2402616.244616,1,309872.922578,2402614.243992,19.876627,1.368107,HV,"1","0","0",
"111","0","4",H,"11721",1,309890.467202,2402683.756456,309899.500898,2402786.49428,1,309894.98405,2402735.125368,103.134224,0.087704,HP,"0","0","0",
"133","0","4",H,"11911",0,309841.352802,2403062.690441,309923.143618,2403051.239177,1,309882.24821,2403056.964809,82.588553,1.709899,HV,"0","0","0",
"137","0","4",H,"12075",1,309044.938881,2403266.004169,309089.405473,2403302.001065,1,309067.172177,2403284.002617,57.210614,0.890273,HO,"0","0","0",
"138","0","4",H,"12076",1,309089.405473,2403302.001065,309149.560737,2403234.503433,1,309119.483105,2403268.252249,90.413418,2.413649,HO,"0","0","0",
"139","0","4",H,"12089",0,309896.187138,2403317.496777,309942.249026,2403320.247177,0,309919.218082,2403318.871977,46.143929,1.511156,HV,"1","0","0",
"140","0","4",H,"12090",1,309416.155105,2403301.244457,309435.624705,2403320.758729,1,309425.889905,2403311.001593,27.565778,0.784252,HO,"1","0","0",
"141","0","4",H,"12108",1,309031.876609,2403341.998953,309044.938881,2403266.004169,1,309038.407745,2403304.001561,77.109209,2.971372,HP,"0","0","0",
"142","0","4",H,"12111",1,308979.998593,2403343.002825,309031.876609,2403341.998953,1,309005.937601,2403342.500889,51.887728,1.590145,HV,"0","0","0",
"146","0","4",H,"12171",1,308967.967521,2403436.501225,308979.998593,2403343.002825,1,308973.983057,2403389.752025,94.269282,3.013619,HP,"0","0","0",
"147","0","4",H,"12177",1,309365.403873,2403371.241833,309425.188833,2403445.493257,1,309395.296353,2403408.367545,95.328461,0.677885,HO,"1","0","0",
"148","0","4",H,"12179",1,309019.845537,2403448.752329,309024.561633,2403431.001321,1,309022.203585,2403439.876825,18.366814,2.881911,HP,"1","0","0",
"149","0","4",H,"12195",1,309071.750913,2403488.502921,309087.439425,2403485.752969,1,309079.595169,2403487.127945,15.927701,1.744318,HV,"1","0","0",
"150","0","4",H,"12196",1,309087.439425,2403485.752969,309104.062849,2403479.249193,1,309095.751137,2403482.501081,17.850415,1.94373,HO,"1","0","0",
"151","0","4",H,"12203",1,308967.032673,2403452.244425,308960.501537,2403506.006537,1,308963.767105,2403479.125481,54.157367,3.020703,HP,"1","0","0",
"152","0","4",H,"12221",1,309538.156993,2403576.748617,309483.625409,2403514.238121,1,309510.891201,2403545.493369,82.953335,0.717332,HO,"1","0","0",
"153","0","4",H,"12329",1,309065.343905,2403391.997577,309030.061537,2403383.000873,1,309047.702721,2403387.499225,36.411347,1.321125,HV,"0","0","0",
"154","0","4",H,"12330",1,309069.000929,2403431.001321,309065.343905,2403391.997577,1,309067.172417,2403411.499449,39.174812,0.093488,HP,"1","0","0",
"155","0","4",H,"12335",1,309165.346721,2403459.753321,309178.188065,2403448.507689,1,309171.767393,2403454.130505,17.069398,2.290043,HO,"1","0","0",
"156","0","4",H,"12336",1,309178.188065,2403448.507689,309192.281441,2403442.001769,1,309185.234753,2403445.254729,15.522572,2.003279,HO,"1","0","0",
"157","0","4",H,"12337",1,309192.281441,2403442.001769,309204.189441,2403442.001769,1,309198.235441,2403442.001769,11.908,1.570796,HV,"1","0","0",
