field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"0","0","1",H,"11674",0,306928.189087,2402702.497,306960.748447,2402600.748744,0,306944.468767,2402651.622872,106.830799,2.83189,HP,"0","0","0",
"1","0","1",H,"11678",1,306796.095039,2402711.503368,306928.189087,2402702.497,1,306862.142063,2402707.000184,132.400726,1.638872,HV,"0","0","0",
"370","1","1",H,"10878",1,306694.470495,2401609.747719,306731.374783,2401618.754055,1,306712.922639,2401614.250887,37.987374,1.331429,HV,"0","0","0",
"371","1","1",H,"10916",1,306807.562239,2401674.756999,306810.876031,2401644.493223,1,306809.219135,2401659.625111,30.444661,3.03253,HP,"0","0","0",
"372","1","1",H,"10962",1,306795.311199,2401716.006279,306835.501887,2401728.504775,1,306815.406543,2401722.255527,42.089236,1.269297,HV,"1","0","0",
"380","1","1",H,"10972",1,306783.967615,2401744.247975,306795.311199,2401716.006279,1,306789.639407,2401730.127127,30.434689,2.759655,HO,"1","0","0",
"381","1","1",H,"10973",1,306795.187487,2401747.507047,306835.501887,2401728.504775,1,306815.344687,2401738.005911,44.568343,2.011264,HO,"1","0","0",
"382","1","1",H,"10982",1,306698.939167,2401761.998984,306731.498495,2401775.50132,1,306715.218831,2401768.750152,35.24802,1.177683,HO,"0","0","0",
"383","1","1",H,"10987",1,306768.375455,2401798.999656,306785.218911,2401759.743816,1,306776.797183,2401779.371736,42.716776,2.736281,HO,"1","0","1",
"384","1","1",H,"11000",1,306768.375455,2401798.999656,306820.968287,2401811.25076,1,306794.671871,2401805.125208,54.000885,1.341935,HV,"1","0","0",
"385","1","1",H,"11013",1,306668.716991,2401827.997864,306698.939167,2401761.998984,1,306683.828079,2401794.998424,72.589476,2.712172,HO,"0","0","0",
"386","1","1",H,"11102",1,306841.592927,2401885.994248,306843.311647,2401914.250248,1,306842.452287,2401900.122248,28.308224,0.060752,HP,"1","0","0",
"387","1","1",H,"11105",1,306826.591871,2401977.00436,306815.248351,2401995.002792,1,306820.920111,2401986.003576,21.274844,2.579227,HO,"0","0","0",
"388","1","1",H,"11108",1,306815.248351,2401995.002792,306832.064447,2401996.006632,1,306823.656399,2401995.504712,16.846032,1.511172,HV,"0","0","0",
"389","1","1",H,"11109",1,306832.064447,2401996.006632,306850.062815,2401988.25156,1,306841.063631,2401992.129096,19.59802,1.977634,HO,"0","0","0",
"390","1","1",H,"11110",1,306850.062815,2401988.25156,306870.123679,2401991.496296,1,306860.093247,2401989.873928,20.321579,1.41044,HV,"0","0","0",
"391","1","1",H,"11116",1,306832.064447,2401996.006632,306839.970559,2402004.998696,1,306836.017503,2402000.502664,11.973463,0.721222,HO,"0","0","0",
"392","1","1",H,"11117",1,306839.970559,2402004.998696,306856.717663,2402006.24996,1,306848.344111,2402005.624328,16.793783,1.49622,HV,"0","0","0",
"393","1","1",H,"11118",1,306856.717663,2402006.24996,306864.623775,2402003.994792,1,306860.670719,2402005.122376,8.221459,1.848661,HV,"0","0","0",
"394","1","1",H,"11119",1,306864.623775,2402003.994792,306870.123679,2401991.496296,1,306867.373727,2401997.745544,13.655085,2.727048,HO,"0","0","0",
"395","1","1",H,"11129",1,306917.092927,2402030.752136,306901.500735,2402024.000968,1,306909.296831,2402027.376552,16.991019,1.162183,HO,"0","0","0",
"396","1","1",H,"11130",1,306901.500735,2402024.000968,306895.904479,2402009.494696,1,306898.702607,2402016.747832,15.548312,0.36819,HO,"0","0","0",
"397","1","1",H,"11131",1,306895.904479,2402009.494696,306885.812223,2401996.006632,1,306890.858351,2402002.750664,16.845816,0.642371,HO,"0","0","0",
"398","1","1",H,"11132",1,306885.812223,2401996.006632,306870.123679,2401991.496296,1,306877.967951,2401993.751464,16.324017,1.290854,HV,"0","0","0",
"404","1","1",H,"12558",1,306875.196319,2402222.303176,306899.218239,2402177.503496,1,306887.207279,2402199.903336,50.833689,2.6494,HO,"0","0","0",
"620","1","6",H,"10861",1,311834.093219,2401592.546503,311850.716355,2401583.991719,1,311842.404787,2401588.269111,18.695266,2.04608,HO,"0","1","0",
"621","1","6",H,"10862",1,311850.716355,2401583.991719,311861.373155,2401573.503559,1,311856.044755,2401578.747639,14.95222,2.348219,HO,"0","1","0",
"622","1","6",H,"10863",1,311861.373155,2401573.503559,311865.250691,2401560.248551,1,311863.311923,2401566.876055,13.810522,2.857,HP,"0","1","0",
"624","1","6",H,"10925",1,311832.832963,2401594.952423,311834.093219,2401609.387943,1,311833.463091,2401602.170183,14.490427,0.087082,HP,"0","1","0",
"625","1","6",H,"10926",1,311834.093219,2401609.387943,311845.091651,2401623.136039,1,311839.592435,2401616.261991,17.606125,0.674739,HO,"0","1","0",
"626","1","6",H,"10927",1,311845.091651,2401623.136039,311864.682691,2401625.656519,1,311854.887171,2401624.396279,19.75251,1.442844,HV,"0","1","0",
"627","1","6",H,"10928",1,311864.682691,2401625.656519,311871.442179,2401633.561671,1,311868.062435,2401629.609095,10.401063,0.707432,HO,"0","1","0",
"628","1","6",H,"10929",0,311871.442179,2401633.561671,311894.011971,2401634.936455,1,311882.727075,2401634.249063,22.611624,1.509959,HV,"0","1","0",
"669","1","6",H,"14780",1,311865.713827,2401623.937991,311888.969059,2401587.995495,1,311877.341443,2401605.966743,42.809682,2.567321,HO,"0","1","0",
"670","1","7",H,"10865",1,312451.623108,2401564.249767,312441.310308,2401569.503463,1,312446.466708,2401566.876615,11.5739,2.041963,HO,"0","0","0",
"671","1","7",H,"10866",1,312441.310308,2401569.503463,312446.466404,2401594.991079,1,312443.888356,2401582.247271,26.003921,0.199604,HP,"0","0","0",
"672","1","7",H,"10890",1,311933.875811,2401616.993671,312024.500516,2401644.493223,1,311979.188163,2401630.743447,94.705135,1.276183,HV,"1","0","0",
"673","1","7",H,"10891",0,312024.500516,2401644.493223,312075.938468,2401429.996903,0,312050.219492,2401537.245063,220.577728,2.906229,HP,"0","0","0",
"674","1","7",H,"10930",1,311894.011971,2401634.936455,311913.259299,2401645.247559,1,311903.635635,2401640.092007,21.835258,1.078986,HO,"0","1","0",
"675","1","7",H,"10938",1,311967.907972,2401693.022151,311949.233475,2401690.157991,1,311958.570723,2401691.590071,18.892862,1.418609,HV,"1","1","0",
"676","1","7",H,"10939",1,311949.233475,2401690.157991,311938.079875,2401684.995271,1,311943.656675,2401687.576631,12.290503,1.137287,HO,"1","1","0",
"677","1","7",H,"10945",1,312042.847172,2401693.020519,312028.857892,2401699.437927,1,312035.852532,2401696.229223,15.391006,2.000893,HO,"0","1","0",
"678","1","7",H,"10946",1,312028.857892,2401699.437927,312016.7137,2401702.187591,1,312022.785796,2401700.812759,12.451588,1.79346,HV,"0","1","0",
