field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"170","0","5",H,"11573",0,310069.62685,2402560.503368,310083.720354,2402544.745864,1,310076.673602,2402552.624616,21.140619,2.41188,HO,"1","0","0",
"572","1","5",H,"11058",1,310450.220546,2401860.502504,310451.595522,2401888.002024,1,310450.908034,2401874.252264,27.533873,0.049958,HP,"1","0","0",
"574","1","5",H,"11113",1,310277.688322,2402003.994792,310306.68653,2401996.254024,1,310292.187426,2402000.124408,30.01359,1.831653,HV,"0","0","0",
"575","1","5",H,"11114",1,310306.68653,2401996.254024,310306.56285,2401971.99924,1,310306.62469,2401984.126632,24.255099,0.005099,HP,"0","0","0",
"576","1","5",H,"11120",1,310739.405602,2401974.996584,310743.283138,2402006.744744,1,310741.34437,2401990.870664,31.984073,0.121532,HP,"1","0","0",
"577","1","5",H,"11232",1,310491.249762,2402216.250216,310518.969314,2402217.501512,1,310505.109538,2402216.875864,27.74778,1.525686,HV,"0","0","0",
"578","1","5",H,"11235",1,310380.344098,2402225.99876,310436.938178,2402224.005288,1,310408.641138,2402225.002024,56.629178,1.606006,HV,"1","0","0",
"579","1","5",H,"11244",1,310326.720066,2402252.246984,310346.437154,2402235.49988,1,310336.57861,2402243.873432,25.869462,2.274925,HO,"1","0","0",
"581","1","5",H,"11307",1,310138.623074,2402308.249928,310177.78253,2402300.494888,1,310158.202802,2402304.372408,39.919965,1.766304,HV,"1","0","0",
"582","1","5",H,"11310",1,310194.96973,2402265.996776,310206.09325,2402308.249928,1,310200.53149,2402287.123352,43.692809,0.257418,HP,"1","0","0",
"587","1","5",H,"11351",1,310352.15709,2402264.498088,310352.15725,2402342.74676,1,310352.15717,2402303.622424,78.248672,2e-06,HP,"0","0","0",
"594","1","5",H,"11456",1,310227.281666,2402372.50276,310253.97005,2402371.00404,1,310240.625858,2402371.7534,26.730432,1.626894,HV,"0","0","0",
