Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"0",,H,"11556","0",307866.62464,2402547.248392,307883.124352,2402544.745864,"1",307874.874496,2402545.997128,16.688413,1.72132,HV
B,"0",,H,"11667","1",307879.466656,2402658.25044,307854.032544,2402674.884776,"1",307866.7496,2402666.567608,30.390709,2.14999,HO
B,"0",,H,"11669","1",307846.13392,2402680.241288,307852.989344,2402675.570952,"1",307849.561632,2402677.90612,8.295112,2.168835,HO
B,"0",,H,"11670","1",307852.989344,2402675.570952,307854.032544,2402674.884776,"1",307853.510944,2402675.227864,1.248641,2.152608,HO
B,"0",,H,"12546","1",307419.248287,2402710.499496,307423.716959,2402689.50372,"1",307421.482623,2402700.001608,21.466058,2.931885,HP
B,"0",,H,"12547","1",307423.716959,2402689.50372,307425.532031,2402655.005672,"1",307424.624495,2402672.254696,34.545764,3.089027,HP
B,"0",,H,"12548","1",307425.532031,2402655.005672,307428.168479,2402641.07588,"1",307426.850255,2402648.040776,14.177093,2.954538,HP
B,"0",,H,"11556","0",307866.62464,2402547.248392,307883.124352,2402544.745864,"1",307874.874496,2402545.997128,16.688413,1.72132,HV
B,"0",,H,"11583","1",308596.654976,2402558.495592,308595.156288,2402572.754472,"1",308595.905632,2402565.625032,14.337424,3.036872,HP
B,"0",,H,"11584","0",308595.156288,2402572.754472,308648.532992,2402540.2498,"1",308621.84464,2402556.502136,62.49501,2.117783,HO
B,"0",,H,"11587","1",307945.685824,2402570.251912,307962.281824,2402585.50036,"1",307953.983824,2402577.876136,22.537577,0.82769,HO
B,"0",,H,"11588","1",307962.281824,2402585.50036,307975.000384,2402584.249064,"1",307968.641104,2402584.874712,12.779965,1.668864,HV
B,"0",,H,"11589","1",307975.000384,2402584.249064,307997.90752,2402567.749352,"1",307986.453952,2402575.999208,28.230788,2.195008,HO
B,"0",,H,"11590","0",307997.90752,2402567.749352,308025.874368,2402542.241672,"1",308011.890944,2402554.995512,37.852164,2.310239,HO
B,"0",,H,"11597","1",307953.248416,2402598.246728,307982.562752,2402585.50036,"1",307967.905584,2402591.873544,31.96561,1.980952,HO
B,"0",,H,"11598","1",307982.562752,2402585.50036,308008.123488,2402566.250696,"1",307995.34312,2402575.875528,31.99845,2.216275,HO
B,"0",,H,"11599","0",308008.123488,2402566.250696,308025.874368,2402542.241672,"1",308016.998928,2402554.246184,29.858449,2.504948,HO
B,"0",,H,"11608","1",308761.844801,2402598.755304,308777.904417,2402633.006024,"1",308769.874609,2402615.880664,37.828866,0.438446,HO
B,"0",,H,"11620","1",308904.718657,2402569.757128,308913.779681,2402584.743848,"1",308909.249169,2402577.250488,17.512965,0.543798,HO
B,"0",,H,"11621","0",308913.779681,2402584.743848,308924.875841,2402597.998824,"1",308919.327761,2402591.371336,17.286386,0.696976,HO
B,"0",,H,"11646","1",308595.156288,2402572.754472,308600.779872,2402589.501576,"1",308597.96808,2402581.128024,17.666075,0.323964,HP
B,"0",,H,"11647","1",308600.779872,2402589.501576,308600.779872,2402614.745928,"1",308600.779872,2402602.123752,25.244352,0,HP
B,"0",,H,"11648","1",308600.779872,2402614.745928,308606.37616,2402634.243016,"1",308603.578016,2402624.494472,20.284351,0.279517,HP
B,"0",,H,"11649","1",308606.37616,2402634.243016,308611.999744,2402661.000328,"1",308609.187952,2402647.621672,27.341881,0.207155,HP
B,"0",,H,"11659","1",308593.781312,2402596.500136,308592.282624,2402616.244616,"1",308593.031968,2402606.372376,19.801277,3.065834,HP
B,"0",,H,"11660","1",308592.282624,2402616.244616,308605.001184,2402656.999112,"1",308598.641904,2402636.621864,42.692982,0.3025,HP
B,"0",,H,"11661","1",308605.001184,2402656.999112,308605.00176,2402666.74644,"1",308605.001472,2402661.872776,9.747328,5.9e-05,HP
B,"0",,H,"11662","1",308796.095521,2402668.24628,308777.904417,2402633.006024,"1",308786.999969,2402650.626152,39.658441,0.476525,HO
B,"0",,H,"11667","1",307879.466656,2402658.25044,307854.032544,2402674.884776,"1",307866.7496,2402666.567608,30.390709,2.14999,HO
B,"0",,H,"11669","1",307846.13392,2402680.241288,307852.989344,2402675.570952,"1",307849.561632,2402677.90612,8.295112,2.168835,HO
B,"0",,H,"11670","1",307852.989344,2402675.570952,307854.032544,2402674.884776,"1",307853.510944,2402675.227864,1.248641,2.152608,HO
